model,partition,optimiser,driver,seed,shared,round,n_clients,disp_rms_coord,disp_mean_l2,disp_max_l2,disp_rel_to_weights,delta_rms,delta_disp_rel,weights_rms,min_pair_l2,krum_idx_flower,krum_idx_ref,krum_sel_agree,krum_score_best,krum_score_margin_rel,gap_krum,relgap_krum,gap_multikrum3,relgap_multikrum3,gap_median,relgap_median,gap_trimmed,relgap_trimmed,noise_fedavg,noise_krum,noise_multikrum3,noise_median,noise_trimmed,train_loss,train_acc,test_loss,test_acc
logreg,iid,sgd,krum,1,0.000000000000e+00,166,16,1.692891908668e-02,4.237560203351e-01,5.507387182074e-01,2.361100562998e-02,1.012835335908e-02,1.671438434906e+00,7.169927173785e-01,2.831847996537e-01,6,6,1,3.186209752231e+00,8.392040132189e-02,4.859660633205e-02,1.618158871516e-02,3.462287176130e-02,1.152864599538e-02,1.643365845190e-02,5.472042642997e-03,9.313272318639e-03,3.101112477335e-03,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,2.513552520939e-01,9.290681502086e-01,2.907625069651e-01,9.108635097493e-01
logreg,iid,sgd,krum,1,0.000000000000e+00,167,16,1.690184566435e-02,4.233655539973e-01,5.598086046536e-01,2.354528462486e-02,1.012873702156e-02,1.668702191434e+00,7.178441855189e-01,2.902249443003e-01,6,6,1,3.236341250506e+00,6.534997908003e-02,4.689754701668e-02,1.557957963697e-02,3.287552487041e-02,1.092139974066e-02,1.516252036751e-02,5.037058622249e-03,8.497449235589e-03,2.822891504962e-03,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,2.514135871251e-01,9.290681502086e-01,2.909117181682e-01,9.108635097493e-01
logreg,iid,sgd,krum,1,0.000000000000e+00,168,16,1.705691451486e-02,4.275231069862e-01,5.470656434866e-01,2.373225188384e-02,1.014613287525e-02,1.681124692982e+00,7.187229681507e-01,2.964505403550e-01,6,6,1,3.286469768189e+00,5.190230602791e-02,4.717263420891e-02,1.565657508740e-02,3.121839573807e-02,1.036137084939e-02,1.562131840170e-02,5.184708223782e-03,8.378017263425e-03,2.780659985775e-03,6.661338147751e-16,2.220446049250e-16,8.881784197001e-16,0.000000000000e+00,8.881784197001e-16,2.513086441051e-01,9.304589707928e-01,2.907298532174e-01,9.108635097493e-01
logreg,iid,sgd,krum,1,0.000000000000e+00,169,16,1.682160187989e-02,4.214976161088e-01,5.687450936447e-01,2.337722789746e-02,1.030165871935e-02,1.632902267311e+00,7.195721389067e-01,2.943317638292e-01,6,6,1,3.190845651891e+00,4.956486478933e-02,4.778407168654e-02,1.584547425745e-02,3.177951747830e-02,1.053827161109e-02,1.514628509975e-02,5.022595651088e-03,8.241241131291e-03,2.732843175273e-03,6.661338147751e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,2.511256769288e-01,9.304589707928e-01,2.907421579929e-01,9.108635097493e-01
logreg,iid,sgd,krum,1,0.000000000000e+00,170,16,1.716670474620e-02,4.297893487635e-01,5.692902577237e-01,2.382872051612e-02,9.954926890395e-03,1.724443075796e+00,7.204207516967e-01,2.853786030608e-01,6,6,1,3.304042990232e+00,3.499531682292e-02,4.593644848496e-02,1.520229286760e-02,3.077239670466e-02,1.018387364220e-02,1.620733842632e-02,5.363686429565e-03,8.668040675560e-03,2.868617346012e-03,8.881784197001e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,8.881784197001e-16,2.511038911635e-01,9.304589707928e-01,2.907810835988e-01,9.108635097493e-01
logreg,iid,sgd,krum,1,0.000000000000e+00,171,16,1.667968207638e-02,4.189207012995e-01,5.311554216885e-01,2.312481563976e-02,1.003011838594e-02,1.662959641609e+00,7.212892996088e-01,3.184727080104e-01,6,6,1,3.160928880838e+00,1.329065354896e-01,4.650663711395e-02,1.537289060515e-02,3.474367333643e-02,1.148461214500e-02,1.562683607375e-02,5.165491559360e-03,8.417686944074e-03,2.782488448317e-03,6.661338147751e-16,4.440892098501e-16,4.440892098501e-16,0.000000000000e+00,8.881784197001e-16,2.510943543429e-01,9.304589707928e-01,2.908776363245e-01,9.108635097493e-01
logreg,iid,sgd,krum,1,0.000000000000e+00,172,16,1.688387080070e-02,4.224132631357e-01,5.721727329885e-01,2.338016808306e-02,1.017966687250e-02,1.658587752642e+00,7.221449709308e-01,2.955334613926e-01,6,6,1,3.192182789245e+00,6.046251930095e-02,4.749508196850e-02,1.568428607612e-02,3.206303064594e-02,1.058816459043e-02,1.478869688069e-02,4.883666749404e-03,8.450289717131e-03,2.790536532550e-03,8.881784197001e-16,4.440892098501e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,2.510029631831e-01,9.304589707928e-01,2.907793103582e-01,9.108635097493e-01
logreg,iid,sgd,krum,1,0.000000000000e+00,173,16,1.711886949302e-02,4.283548029221e-01,5.834338031665e-01,2.367868572092e-02,1.008208686962e-02,1.697949017340e+00,7.229653577389e-01,2.897164374702e-01,6,6,1,3.230815458749e+00,7.618100757167e-02,4.706401736923e-02,1.551734276748e-02,3.236597533860e-02,1.067129330233e-02,1.638005089953e-02,5.400619806056e-03,8.144022410782e-03,2.685142372415e-03,6.661338147751e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,6.661338147751e-16,2.510307300637e-01,9.304589707928e-01,2.907131436898e-01,9.108635097493e-01
logreg,iid,sgd,krum,1,0.000000000000e+00,174,16,1.705731838813e-02,4.266255282576e-01,5.810007980254e-01,2.356584819231e-02,1.018932845392e-02,1.674037544798e+00,7.238151688383e-01,2.882362342510e-01,6,6,1,3.235974420083e+00,4.480825271685e-02,4.853086573798e-02,1.599100117452e-02,3.142278497150e-02,1.035386003825e-02,1.576102343824e-02,5.193283500718e-03,8.593385190964e-03,2.831534747881e-03,4.440892098501e-16,2.220446049250e-16,8.881784197001e-16,0.000000000000e+00,4.440892098501e-16,2.509332372187e-01,9.297635605007e-01,2.910514277635e-01,9.108635097493e-01
logreg,iid,sgd,krum,1,0.000000000000e+00,175,16,1.687156573351e-02,4.237933800843e-01,5.638889596390e-01,2.328190355954e-02,1.007449860497e-02,1.674680437713e+00,7.246643596114e-01,3.299352203070e-01,6,6,1,3.217026570769e+00,1.410349751134e-01,4.731791285219e-02,1.555588507948e-02,3.332136057287e-02,1.095448265824e-02,1.739412816173e-02,5.718364197229e-03,8.148564994435e-03,2.678861618686e-03,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,2.510348734849e-01,9.290681502086e-01,2.908884204964e-01,9.108635097493e-01
