model,partition,optimiser,driver,seed,shared,round,n_clients,disp_rms_coord,disp_mean_l2,disp_max_l2,disp_rel_to_weights,delta_rms,delta_disp_rel,weights_rms,min_pair_l2,krum_idx_flower,krum_idx_ref,krum_sel_agree,krum_score_best,krum_score_margin_rel,gap_krum,relgap_krum,gap_multikrum3,relgap_multikrum3,gap_median,relgap_median,gap_trimmed,relgap_trimmed,noise_fedavg,noise_krum,noise_multikrum3,noise_median,noise_trimmed,train_loss,train_acc,test_loss,test_acc
mlp,iid,sgd,fedavg,2,0.000000000000e+00,252,16,3.370208566600e-03,1.584489086043e-01,2.318168092688e-01,8.516261206454e-03,3.067793002338e-04,1.098577565054e+01,3.957380457102e-01,1.106556139516e-01,10,10,1,3.891957087754e-01,1.123115843547e-01,6.542823379918e-03,2.845420956548e-03,6.281789698247e-03,2.731899520149e-03,4.028956135279e-03,1.752160429016e-03,1.964706884427e-03,8.544351295772e-04,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,1.243858572432e-02,9.986091794159e-01,4.838596453969e-02,9.888579387187e-01
mlp,iid,sgd,fedavg,2,0.000000000000e+00,253,16,3.295710302516e-03,1.547928935980e-01,2.278964858174e-01,8.323152539361e-03,3.074909036801e-04,1.071807413836e+01,3.959689897464e-01,1.065654692551e-01,10,10,1,3.660285694656e-01,1.169712124193e-01,5.645154192434e-03,2.453624262026e-03,6.275339810128e-03,2.727529751308e-03,3.463164354328e-03,1.505238615900e-03,1.892546239270e-03,8.225811397500e-04,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,1.236746040019e-02,9.986091794159e-01,4.849524154926e-02,9.888579387187e-01
mlp,iid,sgd,fedavg,2,0.000000000000e+00,254,16,3.388525298893e-03,1.586531050515e-01,2.482703549088e-01,8.552576955835e-03,3.120252317172e-04,1.085977976923e+01,3.961993345855e-01,1.073999829884e-01,10,10,1,3.750424725804e-01,1.355893249988e-01,5.674879445175e-03,2.465387492166e-03,6.579098037439e-03,2.858215080679e-03,3.896895933233e-03,1.692962570374e-03,2.041895079515e-03,8.870783314407e-04,6.661338147751e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,1.231358119282e-02,9.986091794159e-01,4.832690325695e-02,9.888579387187e-01
mlp,iid,sgd,fedavg,2,0.000000000000e+00,255,16,3.307079360666e-03,1.551922909661e-01,2.328672940918e-01,8.342242219152e-03,2.907227782803e-04,1.137537065457e+01,3.964257179051e-01,1.061670283258e-01,10,10,1,3.664014818889e-01,1.094899856048e-01,6.123132911608e-03,2.658624422523e-03,6.255856180151e-03,2.716252001130e-03,3.869503297594e-03,1.680113124853e-03,1.973629763882e-03,8.569371867345e-04,8.881784197001e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,2.220446049250e-16,1.225387220244e-02,9.986091794159e-01,4.827337696446e-02,9.888579387187e-01
mlp,iid,sgd,fedavg,2,0.000000000000e+00,256,16,3.356157078648e-03,1.568950267194e-01,2.461275916484e-01,8.461177952813e-03,3.047864980600e-04,1.101150182180e+01,3.966536453157e-01,1.057635806702e-01,10,10,1,3.557447240095e-01,1.586325980965e-01,5.175247486322e-03,2.245805575638e-03,6.558899641944e-03,2.846243281091e-03,3.665967289447e-03,1.590851413484e-03,2.028838152696e-03,8.804170326991e-04,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,8.881784197001e-16,1.217704390167e-02,9.986091794159e-01,4.845131461438e-02,9.888579387187e-01
mlp,iid,sgd,fedavg,2,0.000000000000e+00,257,16,3.346735770348e-03,1.573696481154e-01,2.328895378268e-01,8.432643333583e-03,3.025508247872e-04,1.106173077764e+01,3.968786106510e-01,1.116057581583e-01,10,10,1,3.780254167379e-01,1.289664297131e-01,6.338846530916e-03,2.749587090843e-03,6.525357304665e-03,2.830489446390e-03,4.070771660967e-03,1.765769395768e-03,1.989368848051e-03,8.629240157255e-04,6.661338147751e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,1.212710639313e-02,9.986091794159e-01,4.830412197830e-02,9.888579387187e-01
mlp,iid,sgd,fedavg,2,0.000000000000e+00,258,16,3.362578551180e-03,1.570234182649e-01,2.419810292879e-01,8.467714271395e-03,3.067560895030e-04,1.096173365826e+01,3.971058119591e-01,1.072233867720e-01,10,10,1,3.717136651964e-01,1.198591918055e-01,5.490705616937e-03,2.380295718989e-03,6.186082163072e-03,2.681750929179e-03,3.543485877834e-03,1.536149422997e-03,1.787596599634e-03,7.749474894925e-04,6.661338147751e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,1.205653921212e-02,9.986091794159e-01,4.850703657765e-02,9.888579387187e-01
mlp,iid,sgd,fedavg,2,0.000000000000e+00,259,16,3.246671398919e-03,1.524886742796e-01,2.247551041036e-01,8.171240035809e-03,2.940035359316e-04,1.104296718280e+01,3.973290938329e-01,1.063396255535e-01,10,10,1,3.546685959842e-01,1.167353674350e-01,5.676065773400e-03,2.459558154979e-03,5.998708346351e-03,2.599365937892e-03,3.736729021589e-03,1.619202931204e-03,1.814989446342e-03,7.864729325147e-04,8.881784197001e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,2.220446049250e-16,1.200619033239e-02,9.986091794159e-01,4.831657338844e-02,9.888579387187e-01
mlp,iid,sgd,fedavg,2,0.000000000000e+00,260,16,3.221328345152e-03,1.516978105998e-01,2.201435272835e-01,8.102885135627e-03,2.879039297969e-04,1.118890022593e+01,3.975532530985e-01,1.081788098926e-01,10,10,1,3.546921541389e-01,1.213586063112e-01,5.581447353655e-03,2.417174912414e-03,6.064582895632e-03,2.626407936998e-03,3.901206429591e-03,1.689507705126e-03,1.867896662199e-03,8.089358664096e-04,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,1.194917013120e-02,9.986091794159e-01,4.826371300845e-02,9.888579387187e-01
mlp,iid,sgd,fedavg,2,0.000000000000e+00,261,16,3.265065509333e-03,1.527327896457e-01,2.310128733341e-01,8.208302458665e-03,3.001433093619e-04,1.087835513067e+01,3.977759744813e-01,1.077100573692e-01,10,10,1,3.506889885637e-01,1.282011879950e-01,5.596136914578e-03,2.422207203759e-03,6.259047794838e-03,2.709138623438e-03,3.832523393728e-03,1.658852511039e-03,2.042827516847e-03,8.842084464474e-04,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,1.187836014746e-02,9.986091794159e-01,4.817205806553e-02,9.888579387187e-01
